故障类型,FaultType,类型值,点位Key,原始故障代码HEX,原始故障代码DEC,统一原因码HEX,统一原因码DEC,是否作为故障,中文描述
充电中故障,CHARGING_FAIL,3,charging_0026,0x0026,38,0x20026,131110,是,BSM 报文中充电过电流
充电中故障,CHARGING_FAIL,3,charging_0027,0x0027,39,0x20027,131111,是,BSM 报文中动力蓄电池温度过高
充电中故障,CHARGING_FAIL,3,charging_0028,0x0028,40,0x20028,131112,是,BSM 报文中动力蓄电池绝缘状态异常
充电中故障,CHARGING_FAIL,3,charging_0029,0x0029,41,0x20029,131113,是,BSM 报文中连接器连接状态异常
充电中故障,CHARGING_FAIL,3,charging_002A,0x002A,42,0x2002A,131114,否,BMS 正常终止充电
充电中故障,CHARGING_FAIL,3,charging_002B,0x002B,43,0x2002B,131115,是,BMS 异常终止充电
充电中故障,CHARGING_FAIL,3,charging_002C,0x002C,44,0x2002C,131116,是,充电桩判断BMS 其他异常终止
充电中故障,CHARGING_FAIL,3,charging_002D,0x002D,45,0x2002D,131117,是,预留
充电中故障,CHARGING_FAIL,3,charging_002E,0x002E,46,0x2002E,131118,是,低压辅助电源模块输出故障
充电中故障,CHARGING_FAIL,3,charging_002F,0x002F,47,0x2002F,131119,是,PE断线故障
充电中故障,CHARGING_FAIL,3,charging_0030,0x0030,48,0x20030,131120,是,控制导引电压异常
充电中故障,CHARGING_FAIL,3,charging_0031,0x0031,49,0x20031,131121,是,充电机柜过温故障（充电机柜，仅直流桩使用）
充电中故障,CHARGING_FAIL,3,charging_0032,0x0032,50,0x20032,131122,是,充电桩执行功率分配策略失败故障
充电中故障,CHARGING_FAIL,3,charging_0033,0x0033,51,0x20033,131123,是,无空闲模块可用（具备分配功率机型）
充电中故障,CHARGING_FAIL,3,charging_0034,0x0034,52,0x20034,131124,是,预充阶段调压失败
充电中故障,CHARGING_FAIL,3,charging_0035,0x0035,53,0x20035,131125,是,BST停止未知故障
充电中故障,CHARGING_FAIL,3,charging_0036,0x0036,54,0x20036,131126,是,输出电压大于车辆最高允许充电电压
充电中故障,CHARGING_FAIL,3,charging_0037,0x0037,55,0x20037,131127,是,需求电流超过车辆最高允许充电电流
充电中故障,CHARGING_FAIL,3,charging_0038,0x0038,56,0x20038,131128,是,需求电压超过车辆最高允许充电电压
充电中故障,CHARGING_FAIL,3,charging_0039,0x0039,57,0x20039,131129,是,充电控制模块与功率控制模块通信超时
充电中故障,CHARGING_FAIL,3,charging_003A,0x003A,58,0x2003A,131130,是,功率控制模块与开关模块通信超时
充电中故障,CHARGING_FAIL,3,charging_003B,0x003B,59,0x2003B,131131,是,功率控制模块与充电模块通信超时
充电中故障,CHARGING_FAIL,3,charging_003C,0x003C,60,0x2003C,131132,是,功率控制器间通信超时（并机扩容场景）
充电中故障,CHARGING_FAIL,3,charging_003D,0x003D,61,0x2003D,131133,是,BMS通讯异常
充电中故障,CHARGING_FAIL,3,charging_0080,0x0080,128,0x20080,131200,是,小电流停机
充电中故障,CHARGING_FAIL,3,charging_0081,0x0081,129,0x20081,131201,是,控制导引断开
充电中故障,CHARGING_FAIL,3,charging_00FF,0x00FF,255,0x200FF,131327,是,充电桩其他故障
充电中故障,CHARGING_FAIL,3,charging_0102,0x0102,258,0x20102,131330,是,平台通信故障
充电中故障,CHARGING_FAIL,3,charging_0101,0x0101,257,0x20101,131329,是,电能计量异常
充电中故障,CHARGING_FAIL,3,charging_0104,0x0104,260,0x20104,131332,是,主控通信故障
充电中故障,CHARGING_FAIL,3,charging_0105,0x0105,261,0x20105,131333,否,刷卡停止
